minority,age,gender,credits,beauty,eval,division,native,tenure,students,allstudents,prof,PrimaryLast,vismin,female,single_credit,upper_division,English_speaker,tenured_prof
yes,36,female,more,.289915710687637,4.30000019073486,upper,yes,yes,24,43,1,0,1,1,0,1,1,1
yes,36,female,more,.289915710687637,3.70000004768372,upper,yes,yes,86,125,1,0,1,1,0,1,1,1
yes,36,female,more,.289915710687637,3.59999990463257,upper,yes,yes,76,125,1,0,1,1,0,1,1,1
yes,36,female,more,.289915710687637,4.40000009536743,upper,yes,yes,77,123,1,1,1,1,0,1,1,1
no,59,male,more,-.737732172012329,4.5,upper,yes,yes,17,20,2,0,0,0,0,1,1,1
no,59,male,more,-.737732172012329,4,upper,yes,yes,35,40,2,0,0,0,0,1,1,1
no,59,male,more,-.737732172012329,2.09999990463257,upper,yes,yes,39,44,2,1,0,0,0,1,1,1
no,51,male,more,-.571983575820923,3.70000004768372,upper,yes,yes,55,55,3,0,0,0,0,1,1,1
no,51,male,more,-.571983575820923,3.20000004768372,upper,yes,yes,111,195,3,1,0,0,0,1,1,1
no,40,female,more,-.677963376045227,4.30000019073486,upper,yes,yes,40,46,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,3.5,upper,yes,yes,24,27,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,4.09999990463257,upper,yes,yes,24,25,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,4.59999990463257,upper,yes,yes,17,20,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,3.79999995231628,upper,yes,yes,14,25,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,3.79999995231628,upper,yes,yes,37,42,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,3.79999995231628,upper,yes,yes,18,20,4,0,0,1,0,1,1,1
no,40,female,more,-.677963376045227,4.19999980926514,upper,yes,yes,15,18,4,1,0,1,0,1,1,1
no,31,female,more,1.50979399681091,4.40000009536743,upper,yes,yes,42,48,5,0,0,1,0,1,1,1
no,31,female,more,1.50979399681091,3.90000009536743,upper,yes,yes,40,44,5,0,0,1,0,1,1,1
no,31,female,more,1.50979399681091,4.5,upper,yes,yes,38,48,5,0,0,1,0,1,1,1
no,31,female,more,1.50979399681091,4.5,upper,yes,yes,40,45,5,0,0,1,0,1,1,1
no,31,female,more,1.50979399681091,4.40000009536743,upper,yes,yes,52,59,5,0,0,1,0,1,1,1
no,31,female,more,1.50979399681091,4.40000009536743,upper,yes,yes,49,87,5,1,0,1,0,1,1,1
no,62,male,more,.588568687438965,4.19999980926514,upper,yes,yes,182,282,6,0,0,0,0,1,1,1
no,62,male,more,.588568687438965,4.40000009536743,upper,yes,yes,160,292,6,0,0,0,0,1,1,1
no,62,male,more,.588568687438965,4.5,upper,yes,yes,79,130,6,0,0,0,0,1,1,1
no,62,male,more,.588568687438965,4.30000019073486,upper,yes,yes,176,285,6,0,0,0,0,1,1,1
no,62,male,more,.588568687438965,4.59999990463257,upper,yes,yes,155,272,6,0,0,0,0,1,1,1
no,62,male,more,.588568687438965,4.80000019073486,upper,yes,yes,166,286,6,0,0,0,0,1,1,1
no,62,male,more,.588568687438965,4.30000019073486,upper,yes,yes,186,302,6,1,0,0,0,1,1,1
no,33,female,more,-.126001000404358,4,upper,yes,yes,33,41,7,0,0,1,0,1,1,1
no,33,female,more,-.126001000404358,4,upper,yes,yes,29,34,7,0,0,1,0,1,1,1
no,33,female,more,-.126001000404358,4,upper,yes,yes,37,41,7,0,0,1,0,1,1,1
no,33,female,more,-.126001000404358,3.90000009536743,upper,yes,yes,29,41,7,0,0,1,0,1,1,1
no,33,female,more,-.126001000404358,3.29999995231628,upper,yes,yes,28,34,7,1,0,1,0,1,1,1
no,51,female,more,-.258189886808395,3.40000009536743,upper,yes,yes,25,41,8,0,0,1,0,1,1,1
no,51,female,more,-.258189886808395,4.5,upper,yes,yes,21,22,8,0,0,1,0,1,1,1
no,51,female,more,-.258189886808395,4.5,upper,yes,yes,13,21,8,0,0,1,0,1,1,1
no,51,female,more,-.258189886808395,4.5,upper,yes,yes,16,17,8,0,0,1,0,1,1,1
no,51,female,more,-.258189886808395,2.5,lower,yes,yes,24,30,8,0,0,1,0,0,1,1
no,51,female,more,-.258189886808395,4.30000019073486,upper,yes,yes,23,23,8,0,0,1,0,1,1,1
no,51,female,more,-.258189886808395,4.5,upper,yes,yes,20,20,8,1,0,1,0,1,1,1
no,33,female,more,.149692595005035,4.5,upper,yes,yes,48,60,9,0,0,1,0,1,1,1
no,33,female,more,.149692595005035,4.69999980926514,upper,yes,yes,29,33,9,0,0,1,0,1,1,1
no,33,female,more,.149692595005035,3.5,upper,yes,yes,11,44,9,0,0,1,0,1,1,1
no,33,female,more,.149692595005035,4.5,upper,yes,yes,29,49,9,0,0,1,0,1,1,1
no,33,female,more,.149692595005035,3.79999995231628,upper,yes,yes,25,29,9,0,0,1,0,1,1,1
no,33,female,more,.149692595005035,4.5,upper,yes,yes,42,48,9,0,0,1,0,1,1,1
no,33,female,more,.149692595005035,4.30000019073486,upper,yes,yes,34,40,9,1,0,1,0,1,1,1
no,47,male,more,.540916979312897,3.90000009536743,upper,yes,no,16,19,10,0,0,0,0,1,1,0
no,47,male,more,.540916979312897,3.90000009536743,upper,yes,no,12,16,10,0,0,0,0,1,1,0
no,47,male,more,.540916979312897,4.30000019073486,upper,yes,no,14,15,10,0,0,0,0,1,1,0
no,47,male,more,.540916979312897,4.19999980926514,upper,yes,no,22,23,10,0,0,0,0,1,1,0
no,47,male,more,.540916979312897,5,lower,yes,no,10,11,10,0,0,0,0,0,1,0
no,47,male,more,.540916979312897,5,lower,yes,no,17,29,10,0,0,0,0,0,1,0
no,47,male,more,.540916979312897,4.59999990463257,upper,yes,no,16,21,10,0,0,0,0,1,1,0
no,47,male,more,.540916979312897,5,lower,yes,no,15,18,10,0,0,0,0,0,1,0
no,47,male,more,.540916979312897,4.69999980926514,upper,yes,no,16,19,10,0,0,0,0,1,1,0
no,47,male,more,.540916979312897,5,lower,yes,no,16,20,10,1,0,0,0,0,1,0
yes,35,male,more,.231613397598267,3.09999990463257,upper,no,yes,18,25,11,0,1,0,0,1,0,1
yes,35,male,more,.231613397598267,2.70000004768372,upper,no,yes,30,33,11,0,1,0,0,1,0,1
yes,35,male,more,.231613397598267,4,upper,no,yes,23,24,11,1,1,0,0,1,0,1
no,37,male,more,-.0666737034916878,4,upper,yes,no,30,34,12,0,0,0,0,1,1,0
no,37,male,more,-.0666737034916878,4.40000009536743,upper,yes,no,13,21,12,0,0,0,0,1,1,0
no,37,male,more,-.0666737034916878,4.40000009536743,upper,yes,no,24,30,12,0,0,0,0,1,1,0
no,37,male,more,-.0666737034916878,4.30000019073486,upper,yes,no,24,25,12,0,0,0,0,1,1,0
no,37,male,more,-.0666737034916878,3.5,upper,yes,no,25,35,12,1,0,0,0,1,1,0
no,42,male,more,.216892406344414,3.79999995231628,upper,yes,yes,28,40,13,0,0,0,0,1,1,1
no,42,male,more,.216892406344414,3.79999995231628,upper,yes,yes,18,30,13,0,0,0,0,1,1,1
no,42,male,more,.216892406344414,3.90000009536743,upper,yes,yes,28,42,13,0,0,0,0,1,1,1
no,42,male,more,.216892406344414,3.70000004768372,upper,yes,yes,25,57,13,0,0,0,0,1,1,1
no,42,male,more,.216892406344414,3.29999995231628,upper,yes,yes,40,57,13,0,0,0,0,1,1,1
no,42,male,more,.216892406344414,4,upper,yes,yes,40,51,13,0,0,0,0,1,1,1
no,42,male,more,.216892406344414,3.79999995231628,upper,yes,yes,18,30,13,1,0,0,0,1,1,1
no,49,male,more,-.25869619846344,3.40000009536743,upper,no,yes,30,36,14,0,0,0,0,1,0,1
no,49,male,more,-.25869619846344,4.19999980926514,upper,no,yes,31,37,14,0,0,0,0,1,0,1
no,49,male,more,-.25869619846344,3.09999990463257,upper,no,yes,15,29,14,0,0,0,0,1,0,1
no,49,male,more,-.25869619846344,3.59999990463257,upper,no,yes,23,27,14,1,0,0,0,1,0,1
no,37,female,more,.550287783145905,2.90000009536743,upper,yes,yes,23,28,15,0,0,1,0,1,1,1
no,37,female,more,.550287783145905,3.29999995231628,upper,yes,yes,34,52,15,0,0,1,0,1,1,1
no,37,female,more,.550287783145905,2.90000009536743,upper,yes,yes,21,26,15,0,0,1,0,1,1,1
no,37,female,more,.550287783145905,3.09999990463257,upper,yes,yes,29,30,15,1,0,1,0,1,1,1
no,45,male,more,-.0620357990264893,4.5,upper,yes,yes,23,33,16,0,0,0,0,1,1,1
no,45,male,more,-.0620357990264893,4,lower,yes,yes,45,177,16,0,0,0,0,0,1,1
no,45,male,more,-.0620357990264893,4,lower,yes,yes,90,199,16,0,0,0,0,0,1,1
no,45,male,more,-.0620357990264893,4.19999980926514,upper,yes,yes,27,32,16,0,0,0,0,1,1,1
no,45,male,more,-.0620357990264893,3.79999995231628,upper,yes,yes,35,37,16,0,0,0,0,1,1,1
no,45,male,more,-.0620357990264893,4.30000019073486,lower,yes,yes,120,161,16,1,0,0,0,0,1,1
no,56,female,more,-.982385218143463,4,upper,yes,no,27,41,17,0,0,1,0,1,1,0
no,56,female,more,-.982385218143463,4.59999990463257,upper,yes,no,39,44,17,0,0,1,0,1,1,0
no,56,female,more,-.982385218143463,4.30000019073486,upper,yes,no,35,53,17,0,0,1,0,1,1,0
no,56,female,more,-.982385218143463,3.59999990463257,upper,yes,no,34,49,17,0,0,1,0,1,1,0
no,56,female,more,-.982385218143463,4.19999980926514,upper,yes,no,27,32,17,1,0,1,0,1,1,0
no,48,male,more,-.0543439984321594,3.79999995231628,lower,yes,no,100,135,18,0,0,0,0,0,1,0
no,48,male,more,-.0543439984321594,3.90000009536743,upper,yes,no,20,33,18,0,0,0,0,1,1,0
no,48,male,more,-.0543439984321594,4.09999990463257,upper,yes,no,14,19,18,0,0,0,0,1,1,0
no,48,male,more,-.0543439984321594,4,lower,yes,no,65,111,18,0,0,0,0,0,1,0
no,48,male,more,-.0543439984321594,4.30000019073486,lower,yes,no,95,149,18,0,0,0,0,0,1,0
no,48,male,more,-.0543439984321594,3.90000009536743,upper,yes,no,18,27,18,0,0,0,0,1,1,0
no,48,male,more,-.0543439984321594,4.19999980926514,lower,yes,no,85,136,18,0,0,0,0,0,1,0
no,48,male,more,-.0543439984321594,4.19999980926514,lower,yes,no,113,140,18,1,0,0,0,0,1,0
no,46,female,more,-.0680143013596535,4.30000019073486,upper,yes,yes,25,31,19,0,0,1,0,1,1,1
no,46,female,more,-.0680143013596535,4.90000009536743,lower,yes,yes,14,15,19,0,0,1,0,0,1,1
no,46,female,more,-.0680143013596535,4,upper,yes,yes,23,29,19,0,0,1,0,1,1,1
no,46,female,more,-.0680143013596535,4.30000019073486,upper,yes,yes,23,25,19,0,0,1,0,1,1,1
no,46,female,more,-.0680143013596535,4.90000009536743,upper,yes,yes,9,18,19,0,0,1,0,1,1,1
no,46,female,more,-.0680143013596535,3.90000009536743,upper,yes,yes,30,45,19,0,0,1,0,1,1,1
no,46,female,more,-.0680143013596535,4.90000009536743,lower,yes,yes,15,15,19,0,0,1,0,0,1,1
no,46,female,more,-.0680143013596535,3.90000009536743,upper,yes,yes,31,38,19,0,0,1,0,1,1,1
no,46,female,more,-.0680143013596535,4,lower,yes,yes,12,15,19,1,0,1,0,0,1,1
no,57,female,more,.0294137001037598,3.40000009536743,upper,yes,no,17,28,20,0,0,1,0,1,1,0
no,57,female,more,.0294137001037598,3.5,upper,yes,no,10,23,20,0,0,1,0,1,1,0
no,57,female,more,.0294137001037598,3.90000009536743,upper,yes,no,15,19,20,0,0,1,0,1,1,0
no,57,female,more,.0294137001037598,4,upper,yes,no,7,23,20,0,0,1,0,1,1,0
no,57,female,more,.0294137001037598,3.59999990463257,upper,yes,no,7,22,20,0,0,1,0,1,1,0
no,57,female,more,.0294137001037598,3,upper,yes,no,14,20,20,0,0,1,0,1,1,0
no,57,female,more,.0294137001037598,3,upper,yes,no,8,19,20,0,0,1,0,1,1,0
no,57,female,more,.0294137001037598,3.59999990463257,upper,yes,no,17,23,20,0,0,1,0,1,1,0
no,57,female,more,.0294137001037598,3.59999990463257,upper,yes,no,10,22,20,0,0,1,0,1,1,0
no,57,female,more,.0294137001037598,3.20000004768372,upper,yes,no,12,15,20,1,0,1,0,1,1,0
no,52,female,more,.239485904574394,3.40000009536743,upper,yes,no,19,22,21,0,0,1,0,1,1,0
no,52,female,more,.239485904574394,3.90000009536743,upper,yes,no,27,31,21,0,0,1,0,1,1,0
no,52,female,more,.239485904574394,3.5,upper,yes,no,20,21,21,0,0,1,0,1,1,0
no,52,female,more,.239485904574394,3.5,upper,yes,no,31,36,21,0,0,1,0,1,1,0
no,52,female,single,.239485904574394,3.09999990463257,upper,yes,no,17,19,21,0,0,1,1,1,1,0
no,52,female,more,.239485904574394,4.19999980926514,upper,yes,no,23,37,21,1,0,1,0,1,1,0
no,62,male,more,-.733091413974762,4.30000019073486,upper,yes,yes,30,39,23,0,0,0,0,1,1,1
no,62,male,more,-.733091413974762,3.59999990463257,lower,yes,yes,94,184,23,0,0,0,0,0,1,1
no,62,male,more,-.733091413974762,4.5,upper,yes,yes,46,50,23,0,0,0,0,1,1,1
no,62,male,more,-.733091413974762,3.70000004768372,lower,yes,yes,80,157,23,0,0,0,0,0,1,1
no,62,male,more,-.733091413974762,3.40000009536743,lower,yes,yes,61,164,23,1,0,0,0,0,1,1
no,64,male,more,-.111122101545334,4.40000009536743,upper,yes,yes,15,24,24,0,0,0,0,1,1,1
no,64,male,more,-.111122101545334,4.5,upper,yes,yes,51,68,24,0,0,0,0,1,1,1
no,64,male,more,-.111122101545334,4.59999990463257,upper,yes,yes,22,47,24,0,0,0,0,1,1,1
no,64,male,more,-.111122101545334,4.80000019073486,upper,yes,yes,10,14,24,0,0,0,0,1,1,1
no,64,male,more,-.111122101545334,4.5,upper,yes,yes,11,15,24,0,0,0,0,1,1,1
no,64,male,more,-.111122101545334,4.40000009536743,upper,yes,yes,15,24,24,0,0,0,0,1,1,1
no,64,male,more,-.111122101545334,4.09999990463257,upper,yes,yes,21,39,24,1,0,0,0,1,1,1
no,34,female,more,1.77551698684692,4.59999990463257,upper,yes,yes,20,26,25,0,0,1,0,1,1,1
no,34,female,more,1.77551698684692,3.90000009536743,upper,yes,yes,33,40,25,1,0,1,0,1,1,1
no,58,male,more,-.321848511695862,4.19999980926514,upper,yes,yes,84,159,26,0,0,0,0,1,1,1
no,58,male,more,-.321848511695862,4.30000019073486,upper,yes,yes,71,151,26,0,0,0,0,1,1,1
no,58,male,more,-.321848511695862,3.5,lower,yes,yes,36,47,26,0,0,0,0,0,1,1
no,58,male,more,-.321848511695862,4,upper,yes,yes,73,122,26,0,0,0,0,1,1,1
no,58,male,more,-.321848511695862,4,lower,yes,yes,31,45,26,1,0,0,0,0,1,1
yes,52,male,more,.211693897843361,4,upper,no,yes,13,16,27,0,1,0,0,1,0,1
yes,52,male,more,.211693897843361,4.59999990463257,upper,no,yes,23,23,27,0,1,0,0,1,0,1
yes,52,male,more,.211693897843361,4.59999990463257,upper,no,yes,12,16,27,0,1,0,0,1,0,1
yes,52,male,more,.211693897843361,3.70000004768372,upper,no,yes,15,18,27,0,1,0,0,1,0,1
yes,52,male,more,.211693897843361,3.5,upper,no,yes,11,16,27,0,1,0,0,1,0,1
yes,52,male,more,.211693897843361,3.59999990463257,upper,no,yes,12,15,27,0,1,0,0,1,0,1
yes,52,male,more,.211693897843361,3.90000009536743,upper,no,yes,18,28,27,1,1,0,0,1,0,1
no,73,male,more,-.717644989490509,3.29999995231628,upper,yes,yes,12,17,28,0,0,0,0,1,1,1
no,73,male,more,-.717644989490509,4.19999980926514,upper,yes,yes,10,13,28,0,0,0,0,1,1,1
no,73,male,more,-.717644989490509,3.20000004768372,upper,yes,yes,16,21,28,0,0,0,0,1,1,1
no,73,male,more,-.717644989490509,4.90000009536743,upper,yes,yes,13,17,28,1,0,0,0,1,1,1
no,70,male,more,-.732692718505859,4.40000009536743,upper,yes,yes,47,134,29,0,0,0,0,1,1,1
no,70,male,more,-.732692718505859,4,upper,yes,yes,5,48,29,0,0,0,0,1,1,1
no,70,male,more,-.732692718505859,3.5,upper,yes,yes,34,64,29,0,0,0,0,1,1,1
no,70,male,more,-.732692718505859,3.40000009536743,upper,yes,yes,24,69,29,1,0,0,0,1,1,1
no,63,male,more,-.010207699611783,3.5,upper,yes,no,28,43,31,0,0,0,0,1,1,0
no,63,male,more,-.010207699611783,4.19999980926514,upper,yes,no,11,14,31,0,0,0,0,1,1,0
no,63,male,more,-.010207699611783,3.5,upper,yes,no,10,15,31,0,0,0,0,1,1,0
no,63,male,more,-.010207699611783,4.40000009536743,upper,yes,no,14,18,31,0,0,0,0,1,1,0
no,63,male,more,-.010207699611783,3.70000004768372,upper,yes,no,12,16,31,0,0,0,0,1,1,0
no,63,male,more,-.010207699611783,3.40000009536743,upper,yes,no,8,10,31,0,0,0,0,1,1,0
no,63,male,more,-.010207699611783,3,upper,yes,no,23,47,31,1,0,0,0,1,1,0
no,47,male,more,-.923956990242004,4.69999980926514,upper,yes,yes,10,15,32,0,0,0,0,1,1,1
no,47,male,more,-.923956990242004,3.90000009536743,upper,yes,yes,10,14,32,0,0,0,0,1,1,1
no,47,male,more,-.923956990242004,2.79999995231628,upper,yes,yes,10,12,32,1,0,0,0,1,1,1
no,39,male,more,.576680481433868,3.90000009536743,lower,yes,yes,86,246,33,0,0,0,0,0,1,1
no,39,male,more,.576680481433868,3.70000004768372,lower,yes,yes,154,316,33,0,0,0,0,0,1,1
no,39,male,more,.576680481433868,4.59999990463257,upper,yes,yes,12,15,33,0,0,0,0,1,1,1
no,39,male,more,.576680481433868,4.19999980926514,upper,yes,yes,14,15,33,0,0,0,0,1,1,1
no,39,male,more,.576680481433868,4.40000009536743,upper,yes,yes,27,29,33,1,0,0,0,1,1,1
yes,47,female,more,-.0836014971137047,4,lower,yes,yes,21,21,34,0,1,1,0,0,1,1
yes,47,female,more,-.0836014971137047,3.79999995231628,upper,yes,yes,8,8,34,0,1,1,0,1,1,1
yes,47,female,single,-.0836014971137047,4.09999990463257,lower,yes,yes,16,16,34,0,1,1,1,0,1,1
yes,47,female,more,-.0836014971137047,3.70000004768372,lower,yes,yes,24,26,34,0,1,1,0,0,1,1
yes,47,female,more,-.0836014971137047,4.09999990463257,upper,yes,yes,7,10,34,0,1,1,0,1,1,1
yes,47,female,more,-.0836014971137047,3,lower,yes,yes,25,26,34,0,1,1,0,0,1,1
yes,47,female,more,-.0836014971137047,3.20000004768372,lower,yes,yes,24,26,34,0,1,1,0,0,1,1
yes,47,female,more,-.0836014971137047,2.79999995231628,lower,yes,yes,24,26,34,0,1,1,0,0,1,1
yes,47,female,single,-.0836014971137047,4.69999980926514,lower,yes,yes,20,21,34,0,1,1,1,0,1,1
yes,47,female,more,-.0836014971137047,4.19999980926514,lower,yes,yes,12,12,34,0,1,1,0,0,1,1
yes,47,female,more,-.0836014971137047,3.20000004768372,lower,yes,yes,25,27,34,0,1,1,0,0,1,1
yes,47,female,more,-.0836014971137047,3.09999990463257,lower,yes,yes,26,27,34,0,1,1,0,0,1,1
yes,47,female,more,-.0836014971137047,4,lower,yes,yes,24,25,34,1,1,1,0,0,1,1
no,54,male,more,-1.07955801486969,4.30000019073486,upper,yes,yes,15,15,35,0,0,0,0,1,1,1
no,54,male,more,-1.07955801486969,4.19999980926514,upper,yes,yes,10,15,35,0,0,0,0,1,1,1
no,54,male,more,-1.07955801486969,4.30000019073486,upper,yes,yes,16,17,35,1,0,0,0,1,1,1
yes,44,female,more,1.04090201854706,3.79999995231628,upper,yes,yes,30,55,36,0,1,1,0,1,1,1
yes,44,female,more,1.04090201854706,3.29999995231628,upper,yes,yes,35,48,36,0,1,1,0,1,1,1
yes,44,female,more,1.04090201854706,4.09999990463257,upper,yes,yes,21,21,36,0,1,1,0,1,1,1
yes,44,female,more,1.04090201854706,3.70000004768372,upper,yes,yes,35,39,36,1,1,1,0,1,1,1
yes,47,male,more,-1.0521080493927,3.79999995231628,upper,yes,yes,20,27,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927,3.29999995231628,upper,yes,yes,9,14,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927,3.79999995231628,upper,yes,yes,21,26,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927,3.40000009536743,upper,yes,yes,13,16,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927,4.19999980926514,upper,yes,yes,13,16,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927,3.79999995231628,upper,yes,yes,12,13,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927,3.5,upper,yes,yes,14,14,37,0,1,0,0,1,1,1
yes,47,male,more,-1.0521080493927,3.29999995231628,upper,yes,yes,15,17,37,1,1,0,0,1,1,1
no,62,male,more,-.727768123149872,4,upper,yes,yes,12,13,38,0,0,0,0,1,1,1
no,62,male,more,-.727768123149872,4.30000019073486,upper,yes,yes,13,15,38,0,0,0,0,1,1,1
no,62,male,more,-.727768123149872,4.09999990463257,upper,yes,yes,7,10,38,1,0,0,0,1,1,1
no,60,male,more,-.395396500825882,4.59999990463257,upper,yes,yes,25,34,39,0,0,0,0,1,1,1
no,60,male,more,-.395396500825882,4.5,upper,yes,yes,12,16,39,0,0,0,0,1,1,1
no,60,male,more,-.395396500825882,4.5,upper,yes,yes,11,14,39,0,0,0,0,1,1,1
no,60,male,more,-.395396500825882,4.59999990463257,upper,yes,yes,8,12,39,0,0,0,0,1,1,1
no,60,male,more,-.395396500825882,4.40000009536743,upper,yes,yes,24,39,39,0,0,0,0,1,1,1
no,60,male,more,-.395396500825882,4.09999990463257,upper,yes,yes,15,35,39,0,0,0,0,1,1,1
no,60,male,more,-.395396500825882,4.5,upper,yes,yes,31,45,39,0,0,0,0,1,1,1
no,60,male,more,-.395396500825882,4.30000019073486,lower,yes,yes,36,45,39,1,0,0,0,0,1,1
no,42,male,more,-.237778604030609,4.69999980926514,upper,yes,yes,13,14,41,0,0,0,0,1,1,1
no,42,male,more,-.237778604030609,4.40000009536743,upper,yes,yes,14,14,41,0,0,0,0,1,1,1
no,42,male,more,-.237778604030609,4.90000009536743,upper,yes,yes,13,14,41,0,0,0,0,1,1,1
no,42,male,more,-.237778604030609,4.69999980926514,upper,yes,yes,12,12,41,0,0,0,0,1,1,1
no,42,male,more,-.237778604030609,4.59999990463257,upper,yes,yes,13,15,41,1,0,0,0,1,1,1
no,35,male,more,.274908006191254,4.19999980926514,upper,yes,yes,42,51,42,0,0,0,0,1,1,1
no,35,male,more,.274908006191254,4.80000019073486,lower,yes,yes,21,23,42,0,0,0,0,0,1,1
no,35,male,more,.274908006191254,4.19999980926514,upper,yes,yes,49,57,42,0,0,0,0,1,1,1
no,35,male,more,.274908006191254,4.59999990463257,lower,yes,yes,44,50,42,1,0,0,0,0,1,1
no,39,female,more,1.97002303600311,3.40000009536743,lower,yes,no,22,24,43,0,0,1,0,0,1,0
no,39,female,more,1.97002303600311,4.69999980926514,upper,yes,no,18,23,43,0,0,1,0,1,1,0
no,39,female,more,1.97002303600311,4.59999990463257,upper,yes,no,20,23,43,0,0,1,0,1,1,0
no,39,female,more,1.97002303600311,3.59999990463257,lower,yes,no,27,28,43,1,0,1,0,0,1,0
no,49,male,more,1.050950050354,3.90000009536743,upper,yes,yes,28,45,44,0,0,0,0,1,1,1
no,49,male,more,1.050950050354,3.90000009536743,upper,yes,yes,27,42,44,0,0,0,0,1,1,1
no,49,male,more,1.050950050354,4,upper,yes,yes,49,57,44,1,0,0,0,1,1,1
no,61,male,more,.241818502545357,4.5,lower,yes,yes,22,27,45,0,0,0,0,0,1,1
no,61,male,more,.241818502545357,4.40000009536743,upper,yes,yes,31,38,45,0,0,0,0,1,1,1
